"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6764","ENSMUSG00000024054",1916.34109835008,-0.2792025371796,0.0716376572915625,-3.89742696419087,9.72201286667464e-05,0.00031324888884729
"6765","ENSMUSG00000038773",3487.35773086611,-0.326588377652091,0.0838035790242337,-3.89706956975728,9.73636569343348e-05,0.000313664972539082
"6766","ENSMUSG00000023009",513.838153232433,-0.346348100364649,0.0888863877979955,-3.8965257667098,9.75824300527381e-05,0.000314323304843242
"6767","ENSMUSG00000085445",25.6989421165013,1.089191476854,0.279535117938533,3.89643879054044,9.76174637726154e-05,0.000314389686044093
"6768","ENSMUSG00000029126",497.404094077737,0.642852637925921,0.164994423895478,3.89620826418449,9.77103765003583e-05,0.000314595944075758
"6769","ENSMUSG00000086421",18.5514098543958,-1.70053079189855,0.436454323677148,-3.89623999499306,9.76975825711076e-05,0.000314595944075758
"6770","ENSMUSG00000072592",5.52529369735938,2.2309377638829,0.572641186050397,3.89587374821929,9.78453503209949e-05,0.000314983982997897
"6771","ENSMUSG00000031845",14.320591661806,1.40346217807553,0.360257276513496,3.8957219453219,9.79066593092891e-05,0.000315134800322943
"6772","ENSMUSG00000038304",30.1579901907721,-1.55960275363365,0.400515531037929,-3.89398820463209,9.86094466019537e-05,0.000317350011701562
"6773","ENSMUSG00000047222",13.9059960375237,3.57739571564553,0.918787888599988,3.89360347478745,9.87660446593752e-05,0.000317807054083334
"6774","ENSMUSG00000004383",2546.68709004851,-0.409661508865356,0.105245724623617,-3.89242898303376,9.92455561431953e-05,0.000319302871358842
"6775","ENSMUSG00000078622",4672.16702187511,0.176670064458529,0.0453992170719853,3.8914782203931,9.96353341962633e-05,0.00032050959018057
"6776","ENSMUSG00000032504",9195.35603211726,-0.160823260879665,0.0413329276942534,-3.89092352879772,9.98634045749337e-05,0.000321195844053439
"6777","ENSMUSG00000024675",106.300494609752,-1.63944116144765,0.421421845240091,-3.89026145645971,0.000100136271448757,0.000322025955430752
"6778","ENSMUSG00000027170",2663.07230669256,-0.166685670397613,0.0428473404260262,-3.89022209407344,0.000100152516431215,0.000322030679123914
"6779","ENSMUSG00000028847",2865.24484226492,0.194410187921489,0.0499801851212999,3.88974525503783,0.000100349507136918,0.000322616485992329
"6780","ENSMUSG00000033054",600.055439919403,-0.235658934323321,0.0605974988773088,-3.88892179857881,0.000100690553134766,0.000323617448019334
"6781","ENSMUSG00000078995",44.2465408678531,-1.07140197582204,0.275499102013525,-3.88894906731655,0.000100679241911591,0.000323617448019334
"6782","ENSMUSG00000112925",13.9956454011368,-1.44827749608823,0.372452287136096,-3.88849134804488,0.00010086926539759,0.000324144023897828
"6783","ENSMUSG00000107216",37.2891104339447,-0.803358765336126,0.206625638417584,-3.88799169110159,0.000101077085905716,0.000324763970253455
"6784","ENSMUSG00000078201",367.472370471105,0.325241050008535,0.0836812685719222,3.8866649079178,0.000101630893287521,0.000326495237073737
"6785","ENSMUSG00000107792",40.7280348696534,-1.91531297038408,0.492907956808112,-3.88574163579531,0.000102017961333558,0.000327690412572373
"6786","ENSMUSG00000028961",21259.4775957491,0.330434733668838,0.0850453983112625,3.88539227554042,0.000102164787941577,0.000328113673504088
"6787","ENSMUSG00000028528",470.706440179014,-1.11158605782807,0.286102721680628,-3.88526907852668,0.000102216611845684,0.000328231742826702
"6788","ENSMUSG00000034543",2192.54151563618,0.162099630817725,0.0417279117915839,3.88468111290483,0.000102464286711756,0.000328971045957206
"6789","ENSMUSG00000090881",14.9122416619047,-1.79603081792258,0.462340340827959,-3.88465089311967,0.000102477031797902,0.000328971045957206
"6790","ENSMUSG00000026589",1130.53752754017,0.460170860284442,0.118467957446711,3.88434873194664,0.000102604549493462,0.000329331892733506
"6791","ENSMUSG00000025262",567.612544115565,0.475782389224111,0.122494807472981,3.88410251045992,0.000102708570317175,0.000329617225959727
"6792","ENSMUSG00000022947",533.990354355309,-0.452651190528799,0.116542264743686,-3.88400887458576,0.00010274815464196,0.000329695712936819
